Nationality,101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,"110 Agriculture, forestry & food science","111 Earth, marine & environmental sciences",112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,"117 Mineral, metallurgy & materials engineering",118 Civil engineering,"119 Electrical, electronic & computer engineering","120 Mechanical, aero & production engineering","121 IT, systems sciences & computer software engineering",122 Mathematics,"123 Architecture, built environment & planning",124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,"144 Music, dance, drama & performing arts",145 Media studies,Total academic cost centres,Total academic services,Central administration & services,Staff & student facilities,Premises ,Residences & catering ,Total all cost centres
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Bangladesh,40,0,5,5,5,0,5,0,0,0,5,25,5,10,20,5,0,15,25,25,65,5,5,5,0,0,0,5,30,25,5,5,175,0,15,0,0,5,0,0,0,0,5,0,0,560,0,0,0,0,0,560
Barbados,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Belarus,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,50,0,0,0,0,0,50
Belgium,70,0,5,30,5,5,5,5,5,0,15,30,15,25,15,5,5,5,10,10,30,35,10,5,0,5,10,15,15,25,5,10,40,0,10,5,30,10,10,5,0,5,20,15,10,585,0,5,0,0,0,590
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Benin,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia [Bolivia, Plurinational State of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,35,0,0,0,0,0,35
Botswana,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Brazil,105,10,15,20,0,5,10,10,5,5,20,110,25,35,20,10,5,10,25,25,70,25,35,25,5,0,15,35,35,25,5,15,70,0,10,0,20,0,5,0,0,0,30,10,10,925,5,5,0,0,0,935
British Indian Ocean Territory (BIOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
"British Virgin Islands [Virgin Islands, British]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
Brunei [Brunei Darussalam],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Bulgaria,50,0,5,25,0,5,0,5,0,5,5,30,5,15,15,0,0,5,10,15,40,20,10,0,0,0,0,15,15,20,5,5,45,5,10,0,10,5,0,0,0,5,10,5,10,440,0,0,0,0,0,440
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,20,0,5,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90
Canada,180,5,25,105,5,15,10,30,15,10,40,125,20,55,40,10,5,10,15,25,45,70,30,35,5,15,20,85,20,70,15,40,110,5,45,5,30,60,70,10,25,15,70,60,40,"1,735",10,10,0,0,0,"1,760"
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,35,0,5,10,0,5,0,5,0,0,10,30,0,10,5,5,5,5,5,5,10,20,15,10,0,0,5,20,15,15,5,15,35,0,35,0,15,5,5,0,0,0,10,5,5,370,0,5,0,0,0,375
China,625,20,35,160,25,25,65,20,10,20,135,340,255,280,605,175,105,215,550,525,795,305,190,110,20,10,25,80,335,90,30,65,"1,380",15,215,10,195,40,35,5,15,10,130,45,60,"8,390",35,65,0,0,0,"8,490"
Colombia,30,0,0,5,0,0,0,0,0,0,10,20,5,10,10,5,0,10,10,10,5,15,20,10,0,0,5,15,10,10,5,10,20,0,5,0,10,0,5,0,0,0,5,0,5,290,0,0,0,0,0,290
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Congo (Democratic Republic) [Congo (The Democratic Republic of the)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Costa Rica,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
Croatia,25,0,0,10,0,0,5,0,0,0,5,20,5,5,0,0,0,0,0,5,15,10,5,5,0,0,0,5,0,5,5,5,15,0,5,0,10,5,0,0,0,0,10,5,0,200,0,5,0,0,0,205
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Cyprus (European Union),90,0,10,25,5,5,5,0,0,0,10,40,15,20,10,5,5,10,30,15,35,25,20,5,0,0,0,10,10,40,5,5,50,0,25,0,5,5,5,5,0,0,10,5,5,580,0,5,0,0,0,590
Cyprus (Non-European Union),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Czech Republic,35,0,0,10,0,5,0,0,0,5,5,25,10,10,5,0,0,0,5,5,20,10,5,5,5,5,0,10,5,10,0,5,15,0,0,0,10,5,5,0,0,0,5,10,10,260,0,0,0,0,0,260
Denmark,50,5,5,20,5,0,5,0,0,5,10,35,5,15,5,0,0,0,5,10,20,20,15,5,5,0,5,20,15,10,0,10,25,0,10,0,10,10,5,5,5,0,20,10,10,425,5,5,0,0,0,435
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
East Timor [Timor Leste],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Ecuador,10,0,0,5,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,10,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,75
Egypt,60,15,10,5,5,0,20,0,5,5,5,35,20,5,40,10,5,15,35,30,55,10,40,5,0,0,0,15,20,10,0,5,150,0,5,0,5,0,0,0,0,5,5,0,5,670,0,0,0,0,0,670
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Eritrea,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Estonia,15,0,5,10,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,10,5,0,90,0,0,0,0,0,90
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,15,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,5,0,5,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,75
Falkland Islands [Falkland Islands (Malvinas)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,25,0,10,20,0,0,5,0,0,0,5,25,5,20,0,0,0,0,5,0,20,15,5,5,5,0,0,15,10,15,5,10,50,0,5,0,10,5,5,0,10,0,20,15,5,350,0,0,0,0,0,350
France,405,5,20,80,10,25,25,15,25,10,65,305,65,130,85,25,15,25,55,75,150,120,50,45,10,10,25,60,85,75,15,40,155,5,40,20,345,30,45,5,25,10,100,65,20,"3,030",15,10,0,0,0,"3,055"
"Gambia, The",5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Germany,505,10,50,305,15,30,25,10,35,10,110,415,115,260,85,25,25,30,70,70,265,290,80,90,15,20,35,225,160,115,45,90,450,10,70,15,260,60,135,30,55,25,180,95,55,"5,080",10,20,0,0,0,"5,115"
Ghana,30,0,35,10,15,0,5,5,0,5,10,35,5,5,10,0,0,15,5,5,15,10,25,10,0,0,0,10,20,15,5,10,220,0,20,0,0,0,0,0,0,0,5,0,0,580,0,0,0,0,0,585
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Greece,420,25,90,170,35,10,25,25,20,30,30,215,50,95,100,50,15,90,130,110,295,145,120,25,0,10,10,70,140,150,35,40,550,5,110,10,35,35,25,30,10,5,110,50,70,"3,825",20,15,0,0,0,"3,865"
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Hong Kong (Special Administrative Region of China) [Hong Kong],55,0,10,15,0,5,5,0,0,5,5,20,10,5,5,0,0,5,5,10,25,20,15,5,0,5,0,5,5,5,5,5,45,0,10,0,15,5,5,0,0,0,10,5,5,355,0,0,0,0,0,360
Hungary,70,0,5,35,5,5,5,5,5,0,5,30,10,20,10,5,0,5,10,5,35,40,10,5,5,0,5,20,15,15,5,5,35,0,15,0,10,5,10,5,5,0,15,15,5,525,5,5,0,0,0,535
Iceland,5,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,5,0,0,0,0,0,5,5,0,65,0,0,0,0,0,65
India,570,20,125,90,35,35,70,15,20,20,80,450,230,290,260,100,50,95,255,280,495,145,65,70,5,5,40,75,155,80,30,55,525,5,70,0,20,45,45,0,5,10,55,20,30,"5,145",15,15,0,0,0,"5,175"
Indonesia,30,0,5,5,0,0,10,0,0,0,10,15,5,5,10,5,5,10,10,10,15,10,10,5,0,0,0,5,5,0,0,5,50,0,5,0,5,0,0,0,0,0,5,0,5,265,0,0,0,0,0,270
"Iran [Iran, Islamic Republic of]",130,10,20,30,10,5,15,5,0,10,25,55,20,40,175,40,30,85,155,175,200,60,70,10,5,0,0,5,40,15,0,5,275,5,20,0,15,15,0,0,5,0,20,10,10,"1,825",0,10,0,0,0,"1,840"
Iraq,20,10,5,5,0,0,15,0,0,0,0,15,5,5,15,5,0,15,25,15,50,10,10,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,245
Ireland,555,40,400,225,75,65,50,90,35,30,50,270,50,80,65,10,10,50,50,90,170,90,95,50,5,15,15,105,25,250,110,85,340,20,215,20,105,155,105,20,20,10,175,170,100,"4,755",40,40,10,0,0,"4,850"
Israel,25,0,5,30,0,0,0,0,0,0,0,20,10,10,5,0,0,5,10,5,20,30,5,5,0,0,0,20,10,20,5,5,25,0,5,0,5,5,5,0,5,5,10,5,5,315,0,0,0,0,0,320
Italy,765,30,80,240,35,50,60,35,45,25,75,445,125,295,165,60,30,90,125,165,305,260,190,70,25,20,40,185,290,185,55,85,510,10,90,20,280,85,95,55,65,15,225,135,120,"6,350",25,25,0,0,0,"6,405"
Ivory Coast [Côte D'ivoire],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Jamaica,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
Japan,85,0,0,15,5,5,5,0,5,0,5,60,5,30,15,5,5,0,5,5,20,20,10,10,10,0,0,15,30,5,0,5,25,0,10,15,140,15,5,0,0,0,35,25,5,655,5,0,0,0,0,660
Jordan,20,0,5,0,0,5,5,0,0,0,5,10,5,0,10,0,0,5,10,10,40,5,15,0,0,0,0,0,0,5,0,0,45,0,0,0,0,0,0,0,0,0,5,0,0,225,0,0,0,0,0,225
Kazakhstan,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,5,5,0,0,5,20,0,5,0,5,0,0,0,0,0,0,0,0,75,0,0,0,0,0,75
Kenya,45,0,5,5,0,0,0,0,5,5,5,25,0,0,5,0,0,0,5,10,10,5,5,10,0,0,5,5,0,15,0,5,30,0,5,0,0,5,0,0,0,0,5,0,0,230,0,0,0,0,0,230
"Korea (North) [Korea, Democratic People's Republic of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
"Korea (South) [Korea, Republic of]",65,0,0,15,0,5,5,10,0,0,0,30,15,25,25,5,10,5,20,40,25,20,10,10,5,0,0,20,40,5,10,10,120,5,15,5,40,10,0,0,0,0,25,10,10,670,0,0,0,0,0,675
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Laos [Lao People's Democratic Republic],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,20,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,5,5,5,5,0,0,0,0,0,5,0,0,5,10,0,5,0,0,0,0,0,0,0,10,0,5,100,0,0,0,0,0,100
Lebanon,30,0,5,5,5,0,5,0,0,0,0,10,5,5,5,0,0,5,5,10,15,5,10,0,0,0,5,5,5,5,0,0,35,0,5,0,5,0,0,0,0,0,5,0,5,205,0,0,0,0,0,205
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Libya,15,5,5,0,0,0,0,0,0,0,5,10,0,0,10,0,0,5,20,10,15,5,5,0,0,0,0,0,5,0,0,0,25,0,5,0,5,0,0,0,0,0,0,0,0,160,0,0,0,0,0,160
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,50,5,5,15,0,0,5,0,0,0,0,25,15,10,5,0,0,5,10,10,20,5,5,0,0,0,0,5,10,10,5,5,25,0,5,0,0,0,0,0,0,0,10,10,5,295,0,5,0,0,0,300
Luxembourg,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Macao (Special Administrative Region of China) [Macao],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Malawi,30,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,80
Malaysia,175,5,25,30,5,5,20,5,5,5,10,50,20,15,35,15,0,15,30,40,35,10,15,5,0,0,0,0,10,20,5,0,115,5,20,0,5,0,5,0,0,0,10,5,5,780,0,5,0,0,0,790
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Malta,25,5,5,5,0,0,5,0,0,0,0,5,5,5,5,0,0,0,5,5,10,5,5,0,0,0,0,0,0,10,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,145,0,0,0,0,0,145
