Country,Number,Name,Position,DOB,Age,Club,Height,Foot,Caps,Goals,Debut,MarketValue
Portugal,23,Vitinha,Defensive Midfield,13/02/2000,26,Paris Saint-Germain,"1,70m",right,41,-,29/03/2022,€140.00m
Portugal,21,Rúben Neves,Defensive Midfield,13/03/1997,29,Al-Hilal SFC,"1,83m",right,67,1,14/11/2015,€25.00m
Portugal,24,Samú Costa,Defensive Midfield,27/11/2000,25,RCD Mallorca,"1,85m",left,6,-,12/10/2024,€15.00m
Portugal,15,João Neves,Central Midfield,27/09/2004,21,Paris Saint-Germain,"1,71m",right,24,4,16/10/2023,€140.00m
Portugal,16,Francisco Trincão,Attacking Midfield,29/12/1999,26,Sporting CP,"1,84m",left,19,3,05/09/2020,€40.00m
Portugal,8,Bruno Fernandes,Attacking Midfield,08/09/1994,31,Manchester United,"1,83m",right,91,29,10/11/2017,€35.00m
Portugal,10,Bernardo Silva,Attacking Midfield,10/08/1994,31,Manchester City,"1,73m",left,111,14,31/03/2015,€22.00m
Portugal,17,Rafael Leão,Left Winger,10/06/1999,27,AC Milan,"1,88m",right,46,6,09/10/2021,€50.00m
Portugal,19,Gonçalo Guedes,Left Winger,29/11/1996,29,Real Sociedad,"1,79m",right,34,8,14/11/2015,€6.00m
Portugal,18,Pedro Neto,Right Winger,09/03/2000,26,Chelsea FC,"1,74m",left,27,3,11/11/2020,€60.00m
Portugal,26,Francisco Conceição,Right Winger,14/12/2002,23,Juventus FC,"1,66m",left,19,4,26/03/2024,€30.00m
Portugal,11,João Félix,Second Striker,10/11/1999,26,Al-Nassr FC,"1,79m",right,55,12,05/06/2019,€28.00m
Portugal,9,Gonçalo Ramos,Centre-Forward,20/06/2001,25,Paris Saint-Germain,"1,85m",right,26,10,17/11/2022,€30.00m
Portugal,7,Cristiano Ronaldo,Centre-Forward,05/02/1985,41,Al-Nassr FC,"1,85m",right,230,145,20/08/2003,€10.00m
Germany,21,Alexander Nübel,Goalkeeper,30/09/1996,29,VfB Stuttgart,"1,93m",right,3,-,11/10/2024,€12.00m
Germany,1,Manuel Neuer,Goalkeeper,27/03/1986,40,Bayern Munich,"1,93m",right,127,-,02/06/2009,€4.00m
Germany,12,Oliver Baumann,Goalkeeper,02/06/1990,36,TSG 1899 Hoffenheim,"1,87m",right,13,-,14/10/2024,€2.50m
Germany,15,Nico Schlotterbeck,Centre-Back,01/12/1999,26,Borussia Dortmund,"1,91m",left,29,1,26/03/2022,€55.00m
Germany,24,Malick Thiaw,Centre-Back,08/08/2001,24,Newcastle United,"1,94m",right,6,-,16/06/2023,€45.00m
Germany,4,Jonathan Tah,Centre-Back,11/02/1996,30,Bayern Munich,"1,95m",right,50,1,26/03/2016,€28.00m
Germany,3,Waldemar Anton,Centre-Back,20/07/1996,29,Borussia Dortmund,"1,89m",right,14,-,23/03/2024,€18.00m
Germany,2,Antonio Rüdiger,Centre-Back,03/03/1993,33,Real Madrid,"1,90m",right,85,3,13/05/2014,€6.00m
Germany,18,Nathaniel Brown,Left-Back,16/06/2003,23,Eintracht Frankfurt,"1,76m",left,7,1,10/10/2025,€40.00m
Germany,22,David Raum,Left-Back,22/04/1998,28,RB Leipzig,"1,81m",left,39,1,05/09/2021,€25.00m
Germany,5,Aleksandar Pavlovic,Defensive Midfield,03/05/2004,22,Bayern Munich,"1,88m",both,14,1,03/06/2024,€90.00m
Germany,16,Angelo Stiller,Defensive Midfield,04/04/2001,25,VfB Stuttgart,"1,83m",left,9,-,07/09/2024,€45.00m
Germany,6,Joshua Kimmich,Defensive Midfield,08/02/1995,31,Bayern Munich,"1,77m",right,113,10,29/05/2016,€35.00m
Germany,23,Felix Nmecha,Central Midfield,10/10/2000,25,Borussia Dortmund,"1,90m",right,11,2,28/03/2023,€50.00m
Germany,25,Assan Ouédraogo,Central Midfield,09/05/2006,20,RB Leipzig,"1,91m",right,1,1,17/11/2025,€28.00m
Germany,20,Nadiem Amiri,Central Midfield,27/10/1996,29,1.FSV Mainz 05,"1,80m",right,12,1,09/10/2019,€17.00m
Germany,8,Leon Goretzka,Central Midfield,06/02/1995,31,Bayern Munich,"1,89m",right,72,15,13/05/2014,€12.00m
Germany,13,Pascal Groß,Central Midfield,15/06/1991,35,Brighton & Hove Albion,"1,81m",right,19,1,09/09/2023,€2.50m
Germany,10,Jamal Musiala,Attacking Midfield,26/02/2003,23,Bayern Munich,"1,84m",right,45,10,25/03/2021,€100.00m
Germany,17,Florian Wirtz,Attacking Midfield,03/05/2003,23,Liverpool FC,"1,77m",right,44,11,02/09/2021,€100.00m
Germany,9,Jamie Leweling,Right Winger,26/02/2001,25,VfB Stuttgart,"1,85m",both,6,1,14/10/2024,€40.00m
Germany,19,Leroy Sané,Right Winger,11/01/1996,30,Galatasaray,"1,83m",left,79,18,13/11/2015,€20.00m
Germany,7,Kai Havertz,Centre-Forward,11/06/1999,27,Arsenal FC,"1,93m",left,61,24,09/09/2018,€55.00m
Germany,11,Nick Woltemade,Centre-Forward,14/02/2002,24,Newcastle United,"1,98m",right,11,4,04/06/2025,€55.00m
Germany,14,Maximilian Beier,Centre-Forward,17/10/2002,23,Borussia Dortmund,"1,85m",right,10,-,03/06/2024,€40.00m
Germany,26,Deniz Undav,Centre-Forward,19/07/1996,29,VfB Stuttgart,"1,79m",both,12,9,23/03/2024,€22.00m
Brazil,1,Alisson,Goalkeeper,02/10/1992,33,Liverpool FC,"1,93m",right,81,-,14/10/2015,€15.00m
Brazil,23,Ederson,Goalkeeper,17/08/1993,32,Fenerbahce,"1,88m",left,32,-,11/10/2017,€10.00m
Brazil,12,Weverton,Goalkeeper,13/12/1987,38,Grêmio Foot-Ball Porto Alegrense,"1,89m",right,11,-,26/01/2017,€700k
Brazil,3,Gabriel,Centre-Back,19/12/1997,28,Arsenal FC,"1,90m",left,20,1,09/09/2023,€75.00m
Brazil,14,Bremer,Centre-Back,18/03/1997,29,Juventus FC,"1,88m",right,8,1,23/09/2022,€35.00m
Brazil,4,Marquinhos,Centre-Back,14/05/1994,32,Paris Saint-Germain,"1,83m",right,108,7,17/11/2013,€28.00m
Brazil,24,Roger Ibañez,Centre-Back,23/11/1998,27,Al-Ahli SFC,"1,86m",right,8,-,27/09/2022,€18.00m
Brazil,15,Léo Pereira,Centre-Back,31/01/1996,30,CR Flamengo,"1,89m",left,4,-,26/03/2026,€12.00m
Brazil,13,Danilo,Centre-Back,15/07/1991,34,CR Flamengo,"1,84m",right,73,1,15/09/2011,€2.00m
Brazil,16,Douglas Santos,Left-Back,22/03/1994,32,Zenit St. Petersburg,"1,73m",left,10,-,30/05/2016,€7.50m
Brazil,6,Alex Sandro,Left-Back,26/01/1991,35,CR Flamengo,"1,80m",left,46,2,10/11/2011,€1.00m
Brazil,17,Fabinho,Defensive Midfield,23/10/1993,32,Al-Ittihad Club,"1,88m",right,35,-,07/06/2015,€12.00m
Brazil,5,Casemiro,Defensive Midfield,23/02/1992,34,Manchester United,"1,85m",right,89,9,15/09/2011,€6.00m
Brazil,8,Bruno Guimarães,Central Midfield,16/11/1997,28,Newcastle United,"1,82m",right,46,3,18/11/2020,€70.00m
Brazil,2,Éderson,Central Midfield,07/07/1999,26,Atalanta BC,"1,83m",right,4,-,09/06/2024,€45.00m
Brazil,18,Danilo,Central Midfield,29/04/2001,25,Botafogo de Futebol e Regatas,"1,77m",left,6,2,26/03/2026,€32.00m
Brazil,20,Lucas Paquetá,Attacking Midfield,27/08/1997,28,CR Flamengo,"1,83m",left,66,13,08/09/2018,€32.00m
Brazil,10,Neymar,Attacking Midfield,05/02/1992,34,Santos FC,"1,75m",right,129,79,10/08/2010,€8.00m
Brazil,7,Vinicius Junior,Left Winger,12/07/2000,25,Real Madrid,"1,76m",right,52,13,11/09/2019,€140.00m
Brazil,11,Raphinha,Left Winger,14/12/1996,29,FC Barcelona,"1,76m",left,41,11,08/10/2021,€70.00m
Brazil,22,Gabriel Martinelli,Left Winger,18/06/2001,25,Arsenal FC,"1,78m",right,25,4,25/03/2022,€45.00m
Brazil,26,Rayan,Right Winger,03/08/2006,19,AFC Bournemouth,"1,87m",left,4,1,01/04/2026,€60.00m
Brazil,21,Luiz Henrique,Right Winger,02/01/2001,25,Zenit St. Petersburg,"1,82m",left,16,2,07/09/2024,€24.00m
Brazil,9,Matheus Cunha,Centre-Forward,27/05/1999,27,Manchester United,"1,83m",right,26,4,03/09/2021,€75.00m
Brazil,25,Igor Thiago,Centre-Forward,26/06/2001,25,Brentford FC,"1,90m",right,5,2,26/03/2026,€65.00m
Brazil,19,Endrick,Centre-Forward,21/07/2006,19,Olympique Lyon,"1,72m",left,19,4,17/11/2023,€40.00m
Argentina,23,Emiliano Martínez,Goalkeeper,02/09/1992,33,Aston Villa,"1,95m",right,61,-,04/06/2021,€12.00m
Argentina,12,Gerónimo Rulli,Goalkeeper,20/05/1992,34,Olympique Marseille,"1,89m",right,8,-,08/09/2018,€6.00m
Argentina,1,Juan Musso,Goalkeeper,06/05/1994,32,Atlético de Madrid,"1,93m",right,4,-,26/03/2019,€3.00m
Argentina,13,Cristian Romero,Centre-Back,27/04/1998,28,Tottenham Hotspur,"1,85m",right,53,3,04/06/2021,€45.00m
Argentina,6,Lisandro Martínez,Centre-Back,18/01/1998,28,Manchester United,"1,75m",left,30,1,22/03/2019,€40.00m
Argentina,2,Marcos Senesi,Centre-Back,10/05/1997,29,AFC Bournemouth,"1,84m",left,3,-,05/06/2022,€25.00m
Argentina,25,Facundo Medina,Centre-Back,28/05/1999,27,Olympique Marseille,"1,84m",left,11,-,13/10/2020,€18.00m
Argentina,19,Nicolás Otamendi,Centre-Back,12/02/1988,38,SL Benfica,"1,82m",right,134,8,20/05/2009,€1.00m
Argentina,3,Nicolás Tagliafico,Left-Back,31/08/1992,33,Olympique Lyon,"1,72m",left,77,1,09/06/2017,€4.00m
Argentina,26,Nahuel Molina,Right-Back,06/04/1998,28,Atlético de Madrid,"1,79m",right,60,1,04/06/2021,€15.00m
Argentina,4,Gonzalo Montiel,Right-Back,01/01/1997,29,CA River Plate,"1,75m",right,40,2,22/03/2019,€4.50m
Argentina,5,Leandro Paredes,Defensive Midfield,29/06/1994,31,CA Boca Juniors,"1,82m",right,78,5,13/06/2017,€5.00m
Argentina,24,Enzo Fernández,Central Midfield,17/01/2001,25,Chelsea FC,"1,78m",right,44,6,24/09/2022,€90.00m
Argentina,20,Alexis Mac Allister,Central Midfield,24/12/1998,27,Liverpool FC,"1,76m",right,48,6,06/09/2019,€70.00m
Argentina,8,Valentín Barco,Central Midfield,23/07/2004,21,RC Strasbourg Alsace,"1,72m",left,4,2,23/03/2024,€40.00m
Argentina,14,Exequiel Palacios,Central Midfield,05/10/1998,27,Bayer 04 Leverkusen,"1,77m",right,40,-,08/09/2018,€25.00m
Argentina,7,Rodrigo De Paul,Central Midfield,24/05/1994,32,Inter Miami CF,"1,78m",right,89,2,11/10/2018,€14.00m
Argentina,18,Nico Paz,Attacking Midfield,08/09/2004,21,Como 1907,"1,85m",left,10,1,16/10/2024,€80.00m
Argentina,11,Giovani Lo Celso,Attacking Midfield,09/04/1996,30,Real Betis Balompié,"1,77m",left,67,4,11/11/2017,€8.00m
Argentina,15,Nico González,Left Winger,06/04/1998,28,Atlético de Madrid,"1,80m",left,53,6,13/10/2019,€22.00m
Argentina,16,Thiago Almada,Left Winger,26/04/2001,25,Atlético de Madrid,"1,71m",right,18,5,24/09/2022,€15.00m
Argentina,17,Giuliano Simeone,Right Winger,18/12/2002,23,Atlético de Madrid,"1,74m",right,13,2,20/11/2024,€40.00m
Argentina,10,Lionel Messi,Right Winger,24/06/1987,39,Inter Miami CF,"1,70m",left,201,122,17/08/2005,€15.00m
Argentina,9,Julián Alvarez,Centre-Forward,31/01/2000,26,Atlético de Madrid,"1,70m",right,53,14,04/06/2021,€100.00m
Argentina,22,Lautaro Martínez,Centre-Forward,22/08/1997,28,Inter Milan,"1,74m",right,79,37,27/03/2018,€85.00m
Argentina,21,Flaco López,Centre-Forward,06/12/2000,25,Sociedade Esportiva Palmeiras,"1,90m",left,5,-,15/10/2025,€25.00m
Netherlands,1,Bart Verbruggen,Goalkeeper,18/08/2002,23,Brighton & Hove Albion,"1,93m",right,32,-,13/10/2023,€40.00m
Netherlands,13,Robin Roefs,Goalkeeper,17/01/2003,23,Sunderland AFC,"1,93m",left,1,-,03/06/2026,€28.00m
Netherlands,23,Mark Flekken,Goalkeeper,13/06/1993,33,Bayer 04 Leverkusen,"1,95m",both,12,-,26/03/2022,€6.00m
Netherlands,15,Micky van de Ven,Centre-Back,19/04/2001,25,Tottenham Hotspur,"1,93m",left,23,1,13/10/2023,€50.00m
Netherlands,6,Jan Paul van Hecke,Centre-Back,08/06/2000,26,Brighton & Hove Albion,"1,89m",right,15,1,10/09/2024,€45.00m
Netherlands,4,Virgil van Dijk,Centre-Back,08/07/1991,34,Liverpool FC,"1,95m",right,95,13,10/10/2015,€15.00m
Netherlands,5,Nathan Aké,Centre-Back,18/02/1995,31,Manchester City,"1,80m",left,61,5,31/05/2017,€12.00m
Netherlands,25,Jorrel Hato,Left-Back,07/03/2006,20,Chelsea FC,"1,82m",left,8,-,21/11/2023,€40.00m
Netherlands,12,Mats Wieffer,Right-Back,16/11/1999,26,Brighton & Hove Albion,"1,89m",right,15,1,27/03/2023,€25.00m
Netherlands,22,Denzel Dumfries,Right-Back,18/04/1996,30,Inter Milan,"1,88m",right,75,11,13/10/2018,€25.00m
Netherlands,2,Lutsharel Geertruida,Right-Back,18/07/2000,25,Sunderland AFC,"1,84m",right,21,-,24/03/2023,€20.00m
Netherlands,8,Ryan Gravenberch,Defensive Midfield,16/05/2002,24,Liverpool FC,"1,90m",right,30,1,24/03/2021,€80.00m
Netherlands,20,Teun Koopmeiners,Defensive Midfield,28/02/1998,28,Juventus FC,"1,85m",left,31,3,07/10/2020,€14.00m
Netherlands,3,Marten de Roon,Defensive Midfield,29/03/1991,35,Atalanta BC,"1,86m",right,43,1,13/11/2016,€3.20m
Netherlands,14,Tijjani Reijnders,Central Midfield,29/07/1998,27,Manchester City,"1,78m",right,35,7,07/09/2023,€50.00m
Netherlands,21,Frenkie de Jong,Central Midfield,12/05/1997,29,FC Barcelona,"1,81m",right,69,2,06/09/2018,€35.00m
Netherlands,26,Quinten Timber,Central Midfield,17/06/2001,25,Olympique Marseille,"1,76m",right,12,1,26/03/2024,€25.00m
Netherlands,7,Justin Kluivert,Attacking Midfield,05/05/1999,27,AFC Bournemouth,"1,73m",both,13,-,26/03/2018,€25.00m
Netherlands,16,Guus Til,Attacking Midfield,22/12/1997,28,PSV Eindhoven,"1,88m",right,8,1,26/03/2018,€15.00m
Netherlands,11,Cody Gakpo,Left Winger,07/05/1999,27,Liverpool FC,"1,93m",right,53,23,21/06/2021,€60.00m
Netherlands,24,Crysencio Summerville,Left Winger,30/10/2001,24,West Ham United,"1,72m",right,5,2,03/06/2026,€35.00m
Netherlands,17,Noa Lang,Left Winger,17/06/1999,27,Galatasaray,"1,76m",right,17,3,08/10/2021,€22.00m
Netherlands,18,Donyell Malen,Centre-Forward,19/01/1999,27,AS Roma,"1,78m",right,56,13,06/09/2019,€45.00m
Netherlands,19,Brian Brobbey,Centre-Forward,01/02/2002,24,Sunderland AFC,"1,81m",right,15,4,16/10/2023,€30.00m
Netherlands,10,Memphis Depay,Centre-Forward,13/02/1994,32,Sport Club Corinthians Paulista,"1,78m",right,112,55,15/10/2013,€7.00m
Netherlands,9,Wout Weghorst,Centre-Forward,07/08/1992,33,Ajax Amsterdam,"1,97m",right,52,14,23/03/2018,€2.00m
Norway,12,Sander Tangvik,Goalkeeper,29/11/2002,23,Hamburger SV,"1,93m",right,-,-,,€3.00m
Norway,13,Egil Selvik,Goalkeeper,30/07/1997,28,Watford FC,"1,93m",left,8,-,07/09/2023,€1.50m
Norway,1,Ørjan Nyland,Goalkeeper,10/09/1990,35,Sevilla FC,"1,92m",right,73,-,19/11/2013,€800k
Norway,3,Kristoffer Ajer,Centre-Back,17/04/1998,28,Brentford FC,"1,98m",right,54,2,23/03/2018,€18.00m
Norway,4,Leo Østigård,Centre-Back,28/11/1999,26,Genoa CFC,"1,83m",right,41,2,25/03/2022,€13.00m
Norway,17,Torbjørn Heggem,Centre-Back,12/01/1999,27,Bologna FC 1909,"1,92m",left,17,-,13/10/2024,€13.00m
Norway,25,Henrik Falchener,Centre-Back,08/05/2003,23,Viking FK,"1,94m",right,2,-,31/03/2026,€6.00m
